"qa_id"	"chapter"	"asset_id"	"planned_slot"	"experience_class"	"final_role"	"current_caption"	"teach_one_thing"	"provenance_hook"	"claim_safety_gate"	"caption_next_action"
"I0216-CAP-060"	"16"	"A-0022"	"Ch16-04"	"mechanism"	"cooling/rack-density note"	"Figure 16.4 - Cooling And Rack Density Are Constraints, Not Plumbing. DOE-SEAB supports facility-level cooling/power/water response categories; Uptime supports an operator-survey caution about PUE plateau and rack-density transition."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 16 cooling and rack-density note / S-0087;S-0088;CH16Q-015;CH16Q-016 / 2026-05-25"	"caption_long"	"Compress caption body and move caveats to a nearby source note or footnote."
"I0216-CAP-061"	"16"	"A-0023"	"Ch16-05"	"comparison"	"clean procurement vs physical supply"	"Figure 16.5 - Clean Procurement Is Not Physical Supply. IEA supply-mix projection language and DOE-SEAB flexibility categories support a distinction between corporate contracts/certificates and the electricity physically serving a site at a given hour."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 16 clean-procurement versus physical-supply visual / S-0083;S-0087;CH16Q-011;CH16Q-012 / 2026-05-25"	"caption_long"	"Compress caption body and move caveats to a nearby source note or footnote."
"I0216-CAP-062"	"16"	"A-0137"	"Ch16-06"	"source_texture"	"data-center hall photo"	"Figure 16.x candidate - Data-center hall physical texture."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"Data-center hall photo candidate / S-0278 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-063"	"16"	"A-0139"	"Ch16-07"	"source_texture"	"substation photo"	"Figure 16.x candidate - Grid interconnection texture."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Electrical substation photo candidate / S-0280 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-064"	"16"	"A-0141"	"Ch16-08"	"source_texture"	"gas turbine photo"	"Figure 16.x candidate - Gas turbine speed-to-power texture."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"Gas turbine power plant photo candidate / S-0282 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-065"	"16"	"A-0143"	"Ch16-09"	"source_texture"	"nuclear/cooling tower photo"	"Figure 16.x candidate - Nuclear/cooling tower power texture."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"Nuclear plant cooling tower photo candidate / S-0284 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-066"	"17"	"A-0064"	"Ch17-01"	"mechanism"	"tokenization ladder"	"Figure 17.1 - Tokenization Ladder. Human text becomes subword pieces, token IDs, context budget, and next-token prediction target."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 17 tokenization ladder / S-0153;S-0154;S-0043 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-067"	"17"	"A-0065"	"Ch17-02"	"mechanism"	"web-corpus filter funnel"	"Figure 17.2 - Web Corpus Filter Funnel. Common Crawl style data becomes a training-mixture candidate through filtering, deduplication, and documentation decisions."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 17 web-corpus filter funnel / S-0155;S-0156;S-0159;S-0160 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-068"	"17"	"A-0066"	"Ch17-03"	"mechanism"	"data mixture control board"	"Figure 17.3 - Data Mixture Control Board. Schematic corpus lanes show data mixtures as recipes with open-corpus rows and closed-corpus blockers."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 17 data-mixture control board / S-0042;S-0157;S-0158;S-0159;S-0163 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-069"	"17"	"A-0067"	"Ch17-04"	"comparison"	"memorization blocker map"	"Figure 17.4 - Memorization and Contamination Blocker Map. Duplication, benchmark contamination, memorization, extraction, and blocker families are separated."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 17 memorization/contamination blocker map / S-0160;S-0161;S-0162 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-070"	"18"	"A-0060"	"Ch18-01"	"evidence"	"RAG evidence conveyor"	"Figure 18.1 - RAG Evidence Conveyor. Retrieval, ranking, context packing, generation, citation, and audit gates with failure labels."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 18 RAG evidence conveyor / S-0038 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-071"	"18"	"A-0061"	"Ch18-02"	"evidence"	"function-call boundary"	"Figure 18.2 - Function-Call Boundary. The model proposes typed calls; application validation, permissions, execution, and logging decide what happens."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 18 function-call boundary / S-0134;S-0044 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-072"	"18"	"A-0062"	"Ch18-03"	"mechanism"	"agent loop as harness"	"Figure 18.3 - Agent Loop as Harness. Plan, act, observe, gate, context, and review form a bounded system loop."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 18 agent-loop harness / S-0135;S-0136;S-0055;S-0109 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-073"	"18"	"A-0063"	"Ch18-04"	"mechanism"	"prompt-injection boundary"	"Figure 18.4 - Prompt Injection Boundary. Untrusted retrieved content tries to cross from data into instruction before a tool action."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 18 prompt-injection boundary / S-0137 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-074"	"18"	"A-0124"	"Ch18-05"	"source_texture"	"ChatGPT tools/GPTs surface"	"Figure 12/18.x - ChatGPT Tool Surface. Private-use screenshot slot for plugins, GPTs, or tool-access product packaging."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"ChatGPT plugins/GPTs/tools source surface / S-0044;S-0045;S-0046 / 2026-05-26"	"claim_language_review;rights_or_private_use_cue_required"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-075"	"19"	"A-0090"	"Ch19-01"	"mechanism"	"code as language"	"Figure 19.1 - Code Was The Second Native Language. Natural-language intent, syntax, execution feedback, and repository context are shown as a supervised ladder."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 19 code-as-language ladder / S-0052;S-0054;S-0070;S-0132;S-0035 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-076"	"19"	"A-0091"	"Ch19-02"	"mechanism"	"assistant at cursor"	"Figure 19.2 - The Assistant Entered At The Cursor. Copilot-style assistance is mapped through editor context, suggestion, human review, tests, and repository integration."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 19 editor-to-repository workflow / S-0070;S-0132 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-077"	"19"	"A-0092"	"Ch19-03"	"comparison"	"coding score harness"	"Figure 19.3 - Coding Scores Need A Harness Story. HumanEval-style functions, AlphaCode contest systems, SWE-bench repository repair, and LiveCodeBench contamination-aware tasks are separated before comparison."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 19 coding benchmark ladder / S-0052;S-0054;S-0053;S-0035;S-0037;C-0013 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-078"	"19"	"A-0093"	"Ch19-04"	"mechanism"	"repository as prompt"	"Figure 19.4 - The Repository Became The Prompt. Files, docs, issues, errors, tests, and instructions feed a coding model while review and responsibility remain external gates."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 19 repository-as-prompt schematic / S-0035;S-0037;S-0053;manuscript/20-claude-code-industrialized-pair-programming.md / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-079"	"19"	"A-0127"	"Ch19-05"	"source_texture"	"GitHub Copilot surface"	"Figure 19.x - GitHub Copilot Coding Surface. Private-use screenshot slot for AI assistance inside developer workflow."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"GitHub Copilot product source surface / S-0070 / 2026-05-26"	"claim_language_review;rights_or_private_use_cue_required"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-080"	"20"	"A-0032"	"Ch20-01"	"mechanism"	"coding-agent harness loop"	"Figure 20.1 - Coding Agent Harness Loop. A model score or workflow result is produced by an issue, repository context, scaffold, tools, tests, retries, and review."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 20 coding-agent harness loop / S-0035;S-0037;S-0022;S-0050;C-0013 / 2026-05-25"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-081"	"20"	"A-0033"	"Ch20-02"	"comparison"	"coding benchmark caveat matrix"	"Figure 20.2 - Coding Benchmark Caveat Matrix. SWE-bench, LiveCodeBench, terminal tasks, and product metrics each license different claims."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 20 coding benchmark caveat matrix / S-0035;S-0037;S-0007;C-0013 / 2026-05-25"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-082"	"20"	"A-0034"	"Ch20-03"	"evidence"	"tool-call lifecycle"	"Figure 20.3 - Tool-Call Lifecycle. A coding agent proposes an action, crosses a permission boundary, executes a tool, observes output, retries, and returns a diff for review."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 20 tool-call lifecycle / S-0022;S-0050;CH20AGENT-003;CH20AGENT-005 / 2026-05-25"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-083"	"20"	"A-0035"	"Ch20-04"	"comparison"	"productivity blocker map"	"Figure 20.4 - Productivity Claim Blocker Map. Workflow claims are allowed now; productivity, adoption, revenue, replacement, and enterprise-outcome claims need stronger evidence."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 20 productivity claim blocker map / S-0022;S-0035;S-0037;S-0050;C-0013 / 2026-05-25"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-084"	"20"	"A-0131"	"Ch20-05"	"source_texture"	"Claude Code surface"	"Figure 20.x - Claude Code Surface. Private-use screenshot slot for a coding-agent workflow surface."	"Make the evidence boundary visible and attach the claim to its source scope."	"Claude Code product/docs source surface / S-0048;S-0049;S-0050;S-0051 / 2026-05-26"	"claim_language_review;rights_or_private_use_cue_required"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-085"	"21"	"A-0078"	"Ch21-01"	"mechanism"	"reasoning compute axis"	"Figure 21.1 - Reasoning Adds A New Compute Axis. Training compute, post-training, and test-time compute are shown as separate schematic axes."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 21 train-time versus test-time compute axes / S-0168;S-0169;S-0170;S-0171;S-0172;S-0173 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-086"	"21"	"A-0079"	"Ch21-02"	"mechanism"	"reasoning loop"	"Figure 21.2 - Reasoning Is A Loop, Not A Magic Thought Bubble. Prompt, candidate paths, verifier, observation/tool result, loopback, and selected answer form a system procedure."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 21 verifier/search loop / S-0170;S-0171;S-0172;S-0173;S-0135 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-087"	"21"	"A-0080"	"Ch21-03"	"comparison"	"inference contract"	"Figure 21.3 - A Reasoning Score Needs An Inference Contract. Model/date, task set, tool access, samples/retries, verifier/scoring rule, and contamination scope become caption requirements."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 21 inference-contract matrix / C-0121;C-0130;S-0035;S-0036;S-0037 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-088"	"21"	"A-0081"	"Ch21-04"	"mechanism"	"thinking cost tradeoff"	"Figure 21.4 - How Much Thinking Is This Worth? Fast path, think path, tool path, and human escalation/refusal are schematic routing lanes."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 21 reasoning-budget routing map / S-0168;S-0169;S-0119;S-0029;S-0031;S-0135 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-089"	"22"	"A-0082"	"Ch22-01"	"mechanism"	"visible meter"	"Figure 22.1 - The Meter Is Visible Before The Margin Is Knowable. Input, cached-input, and output token lanes show the unit of sale."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 22 token meter / S-0060;S-0061;S-0062;S-0072;S-0081;S-0082;data/provider_pricing_rows_i0026.tsv;data/openai_pricing_rows_i0021.tsv;data/mistral_pricing_rows_i0031.tsv / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-090"	"22"	"A-0083"	"Ch22-02"	"mechanism"	"routing/caching/batching/distillation"	"Figure 22.2 - Routing, Caching, Batching, Distillation. Visible economic levers can shape serving cost and user-visible pricing."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 22 routing/caching/batching levers / data/provider_pricing_rows_i0026.tsv;data/mistral_pricing_rows_i0031.tsv;C-0046 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-091"	"22"	"A-0084"	"Ch22-03"	"mechanism"	"business models"	"Figure 22.3 - Intelligence Is Sold Through More Than One Door. Subscription, API meter, and enterprise/cloud bundles are separate routes to market."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 22 subscription/API/bundle map / S-0078;S-0090;S-0069;S-0103;C-0136;C-0141 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-092"	"22"	"A-0085"	"Ch22-04"	"comparison"	"economics claim blockers"	"Figure 22.4 - The Tempting Economics Claims Are Not The Sourced Ones. Visible evidence classes are mapped to blocked revenue, margin, utilization, ROI, and price-quality claims."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 22 margin and ROI blocker grid / C-0046;C-0136;C-0141;data/price_quality_join_audit_i0036.tsv / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-093"	"23"	"A-0074"	"Ch23-01"	"mechanism"	"failure modes separation"	"Figure 23.1 - Failure Modes Are Different Claims. Hallucination/truth, sycophancy, adversarial, proxy, evidence, and measurement failures are separate evidence lanes."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 23 failure-mode map / S-0005;S-0164;S-0165;S-0166;S-0167;S-0137;S-0038;S-0035;S-0036;S-0037 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-094"	"23"	"A-0075"	"Ch23-02"	"mechanism"	"trust stack"	"Figure 23.2 - Trust Is A Stack. Evidence selection, evidence use, authority, evaluation, permission/action, and audit memory form layered controls."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 23 trust stack / S-0038;S-0076;S-0077;S-0110;S-0137 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-095"	"23"	"A-0076"	"Ch23-03"	"mechanism"	"evaluation shadow"	"Figure 23.3 - Every Evaluation Casts A Shadow. TruthfulQA, Arena preference, SWE-bench, and LiveCodeBench each illuminate a scoped slice and leave blind spots."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 23 evaluation blind-spot matrix / S-0164;S-0036;S-0035;S-0037 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-096"	"23"	"A-0077"	"Ch23-04"	"comparison"	"auditable claim loop"	"Figure 23.4 - From Answer To Auditable Claim. Question, retrieval, generation, audit, blocker, record, and publish steps separate fluent output from scoped evidence."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 23 provenance workflow / S-0038;S-0076;S-0077;S-0110 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-097"	"24"	"A-0108"	"Ch24-01"	"mechanism"	"next-token system map"	"Figure 24.1 - From Next Token To Computing Stack. Next-token prediction is surrounded by data, architecture, training, products, tools, infrastructure, economics, and trust."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 24 final next-token stack map / CH24SYN-001;CH24SYN-002;CH24SYN-005;CH24SYN-012 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-098"	"24"	"A-0109"	"Ch24-02"	"mechanism"	"five conversion gates"	"Figure 24.2 - Five Conversion Gates. Prediction-to-interface, interface-to-product, model-to-platform, compute-to-infrastructure, and fluency-to-trust are shown as overlapping pressures."	"Orient the reader in time, actor, or scene without broadening the claim."	"Generated Chapter 24 five conversion gates diagram / CH24SYN-002;CH24SYN-007;CH24SYN-013 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-099"	"24"	"A-0110"	"Ch24-03"	"evidence"	"unsettled claims board"	"Figure 24.3 - Unsettled By The Cutoff. Tempting end-of-book claims are paired with the same-scope evidence still required."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 24 unsettled claims board / CH24SYN-008;CH24SYN-010;CH24SYN-014;CH24SYN-016 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-100"	"24"	"A-0111"	"Ch24-04"	"mechanism"	"human judgment loop"	"Figure 24.4 - Human Judgment Loop. User intent, model tokens, tools, evidence trace, audit, blockers, and human decision form the closing loop."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 24 human judgment loop / CH24SYN-003;CH24SYN-008;CH24SYN-015;CH24SYN-017 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
