"figure_id"	"chapter"	"asset_id"	"asset_type"	"figure_title"	"current_rights_status"	"triage_class"	"severity"	"publication_decision"	"replacement_candidate"	"rights_basis"	"blocked_claim_firewall"	"required_next_gate"
"F16.07"	"CH16"	"A-0139"	"photo_candidate_slot"	"Grid interconnection texture."	"rights_review_needed"	"permission_or_replace"	"high"	"Verify original license/author/attribution and story purpose, request permission if needed, or replace with schematic/source card."	"interconnection_queue_schematic_or_verified_public-domain_substation_photo"	"Real-world photo candidate; candidate text file is not publication clearance."	"Block capacity, workload, customer/site identity, delivered power, emissions, yield, allocation, and energy-per-token inference."	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F16.08"	"CH16"	"A-0141"	"photo_candidate_slot"	"Gas turbine speed-to-power texture."	"rights_review_needed"	"permission_or_replace"	"high"	"Verify original license/author/attribution and story purpose, request permission if needed, or replace with schematic/source card."	"speed-to-power_schematic_or_verified_public-domain_turbine_photo"	"Real-world photo candidate; candidate text file is not publication clearance."	"Block capacity, workload, customer/site identity, delivered power, emissions, yield, allocation, and energy-per-token inference."	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F16.09"	"CH16"	"A-0143"	"photo_candidate_slot"	"Nuclear/cooling tower power texture."	"rights_review_needed"	"permission_or_replace"	"high"	"Verify original license/author/attribution and story purpose, request permission if needed, or replace with schematic/source card."	"clean_power_physical_supply_schematic_or_verified_public-domain_cooling_tower_photo"	"Real-world photo candidate; candidate text file is not publication clearance."	"Block capacity, workload, customer/site identity, delivered power, emissions, yield, allocation, and energy-per-token inference."	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F17.01"	"CH17"	"A-0064"	"svg_diagram"	"Tokenization Ladder"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Verify tokenizer caveats stay visible."
"F17.02"	"CH17"	"A-0065"	"svg_diagram"	"Web Corpus Filter Funnel"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Block closed-corpus composition claims."
"F17.03"	"CH17"	"A-0066"	"svg_diagram"	"Data Mixture Control Board"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep schematic, not measured shares."
"F17.04"	"CH17"	"A-0067"	"svg_diagram"	"Memorization and Contamination Blocker Map"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep prevalence claims blocked."
"F18.01"	"CH18"	"A-0060"	"svg_diagram"	"RAG Evidence Conveyor"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Do not duplicate trust chapter."
"F18.02"	"CH18"	"A-0061"	"svg_diagram"	"Function-Call Boundary"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Pair with API docs screenshot."
"F18.03"	"CH18"	"A-0062"	"svg_diagram"	"Agent Loop as Harness"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep distinct from Chapter 20."
"F18.04"	"CH18"	"A-0063"	"svg_diagram"	"Prompt Injection Boundary"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep near untrusted-retrieval prose."
"F18.05"	"CH18"	"A-0124"	"screenshot_slot"	"ChatGPT Tool Surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F19.01"	"CH19"	"A-0090"	"svg_diagram"	"Code Was The Second Native Language"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Check density with prose."
"F19.02"	"CH19"	"A-0091"	"svg_diagram"	"The Assistant Entered At The Cursor"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Pair with one screenshot only."
"F19.03"	"CH19"	"A-0092"	"svg_diagram"	"Coding Scores Need A Harness Story"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block live rank, broad best-model, task-superiority, safety, productivity, price-quality, and enterprise-usefulness inference."	"Do not repeat Chapter 20 matrix."
"F19.04"	"CH19"	"A-0093"	"svg_diagram"	"The Repository Became The Prompt"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep as chapter-ending setup."
"F19.05"	"CH19"	"A-0127"	"screenshot_slot"	"GitHub Copilot Coding Surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F20.01"	"CH20"	"A-0032"	"svg_diagram"	"Coding Agent Harness Loop"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep human review boundary."
"F20.02"	"CH20"	"A-0033"	"svg_diagram"	"Coding Benchmark Caveat Matrix"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block live rank, broad best-model, task-superiority, safety, productivity, price-quality, and enterprise-usefulness inference."	"Keep near benchmark prose."
"F20.03"	"CH20"	"A-0034"	"svg_diagram"	"Tool-Call Lifecycle"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Pair with Claude Code docs."
"F20.04"	"CH20"	"A-0035"	"svg_diagram"	"Productivity Claim Blocker Map"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Use if chapter has vendor-product claims."
"F20.05"	"CH20"	"A-0131"	"screenshot_slot"	"Claude Code Surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F21.01"	"CH21"	"A-0078"	"svg_diagram"	"Reasoning Adds A New Compute Axis"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep train-time vs answer-time distinction."
"F21.02"	"CH21"	"A-0079"	"svg_diagram"	"Reasoning Is A Loop, Not A Magic Thought Bubble"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Caption must block truth guarantees."
"F21.03"	"CH21"	"A-0080"	"svg_diagram"	"A Reasoning Score Needs An Inference Contract"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block live rank, broad best-model, task-superiority, safety, productivity, price-quality, and enterprise-usefulness inference."	"Use before benchmark mentions."
"F21.04"	"CH21"	"A-0081"	"svg_diagram"	"How Much Thinking Is This Worth? Fast path, think path, tool path, and human escalation/refusal are schematic routing lanes."	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep value claims blocked."
"F22.01"	"CH22"	"A-0082"	"svg_diagram"	"The Meter Is Visible Before The Margin Is Knowable"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Verify price/currentness caveats."
"F22.02"	"CH22"	"A-0083"	"svg_diagram"	"Routing, Caching, Batching, Distillation"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep distinct from Chapter 8 cost stack."
"F22.03"	"CH22"	"A-0084"	"svg_diagram"	"Intelligence Is Sold Through More Than One Door"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Caption blocks margin and ARR claims."
"F22.04"	"CH22"	"A-0085"	"svg_diagram"	"The Tempting Economics Claims Are Not The Sourced Ones"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Use as sidebar if layout is dense."
"F23.01"	"CH23"	"A-0074"	"svg_diagram"	"Failure Modes Are Different Claims"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Prevent incident montage."
"F23.02"	"CH23"	"A-0075"	"svg_diagram"	"Trust Is A Stack"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Check if final chapter repeats it."
"F23.03"	"CH23"	"A-0076"	"svg_diagram"	"Every Evaluation Casts A Shadow"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block live rank, broad best-model, task-superiority, safety, productivity, price-quality, and enterprise-usefulness inference."	"Use with benchmark chapters cross-reference."
"F23.04"	"CH23"	"A-0077"	"svg_diagram"	"From Answer To Auditable Claim"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block live rank, broad best-model, task-superiority, safety, productivity, price-quality, and enterprise-usefulness inference."	"Pair with source-density prose."
"F24.01"	"CH24"	"A-0108"	"svg_diagram"	"From Next Token To Computing Stack"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep from becoming generic summary wallpaper."
"F24.02"	"CH24"	"A-0109"	"svg_diagram"	"Five Conversion Gates"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Use if final prose follows conversion motif."
"F24.03"	"CH24"	"A-0110"	"svg_diagram"	"Unsettled By The Cutoff"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep if not too apparatus-heavy."
"F24.04"	"CH24"	"A-0111"	"svg_diagram"	"Human Judgment Loop"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Use as closing visual if layout has room."
