rank	candidate_id	chapter	candidate_ref	candidate_type	title	source_basis	readiness	likely_top100	selection_reason	blocker_or_gate
127	EC-0188-127	multi	A-0101	source_screenshot_slot	Figure 16.x candidate - DOE advisory source surface for interconnection, generation, storage, transmission, and backup-power constraints.	manuscript/15-16-physical-infrastructure-capture-execution-i0145.md	pdf_url_note_no_heavy_download	no	Reserve manifest row outside I-0182 top 100	PDF URL and no-heavy-download note hash-recorded; rendered page still pending; no site deployment proof, fuel-mix claim, implementation claim, or grid-readiness guarantee.
128	EC-0188-128	multi	A-0102	source_screenshot_slot	Figure 16.x candidate - Operator-survey source surface for rack-density, PUE, power, and cooling signals.	manuscript/15-16-physical-infrastructure-capture-execution-i0145.md	source_page_captured_screenshot_pending	no	Reserve manifest row outside I-0182 top 100	HTML source surface captured and hash-recorded; screenshot/permission review still pending; no universal liquid-cooling transition, exact facility engineering, survey-only causality, or solved-cooling claim.
129	EC-0188-129	multi	A-0103	photo_candidate_slot	Figure 16.x candidate - Rights-safe physical grid/interconnection image, to be selected with author, license, and source URL.	manuscript/15-16-physical-infrastructure-capture-execution-i0145.md	photo_candidate_selected_no_raster	no	Reserve manifest row outside I-0182 top 100	DOE .gov media candidate recorded; raster not downloaded; final credit/license review still needed; no named data-center connection, outage/delay proof, capacity value, or local fuel-mix claim.
130	EC-0188-130	multi	A-0104	photo_candidate_slot	Figure 16.x candidate - Rights-safe cooling plant, chiller, cooling tower, or liquid-cooling infrastructure image.	manuscript/15-16-physical-infrastructure-photo-acquisition-i0140.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	No raster committed; source still needed; no universal operator behavior, PUE proof, named AI facility, exact rack-density, or thermal engineering claim.
131	EC-0188-131	multi	A-0105	photo_candidate_slot	Figure 16.x candidate - Rights-reviewed data-center exterior image with strict caption limits.	manuscript/15-16-physical-infrastructure-photo-acquisition-i0140.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	No raster committed; source still needed; no deployment scale, customer/workload proof, exact power draw, GPU inventory, or AI-factory economics claim.
132	EC-0188-132	multi	A-0107	source_screenshot_slot	Figure 15/16.x candidate - NVIDIA's DSX platform slide as a bridge from GTC rhetoric to physical constraints.	manuscript/15-16-physical-infrastructure-capture-execution-i0145.md	local_ignored_raster_hashed	no	Reserve manifest row outside I-0182 top 100	Existing ignored private-use raster hash-recorded at 5760x3240; no customer deployment, adoption scale, facility performance, or proof that DSX solves power/cooling/interconnection.
133	EC-0188-133	multi	A-0114	svg_diagram	Figure 10.4 - Llama Screenshot Priorities. Existing Llama screenshot slots are prioritized as developer and release surfaces, not market evidence.	manuscript/10-open-weight-control-stack-visual-package-i0142.md	available	no	Reserve manifest row outside I-0182 top 100	Original lightweight SVG generated from I-0137 audit and existing acquisition rows; no external image assets; no popularity, stars, downloads, current license state, ecosystem size, deployment, adoption, benchmark, quality, or safety proof.
134	EC-0188-134	multi	A-0120	screenshot_slot	Figure 12/20.x - MCP Announcement Source Surface. Private-use screenshot slot for attributed MCP chronology and bridge framing.	manuscript/12-20-anthropic-screenshot-acquisition-i0148.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; local HTML hash recorded in data/chapter12_20_anthropic_source_surface_hashes_i0148.tsv; publication use needs rights/fair-use review.
135	EC-0188-135	multi	A-0123	screenshot_slot	Figure 7.x - ChatGPT Enterprise Surface. Private-use screenshot slot for enterprise packaging and governance language.	manuscript/model-product-interface-screenshot-acquisition-i0180.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review.
136	EC-0188-136	multi	A-0125	screenshot_slot	Figure 18.x - API Tools Documentation Surface. Private-use screenshot slot for OpenAI platform tool documentation.	manuscript/model-product-interface-screenshot-acquisition-i0180.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review.
137	EC-0188-137	multi	A-0126	screenshot_slot	Figure 20.x - Codex Agent Surface. Private-use screenshot slot for supervised repository-agent product packaging.	manuscript/model-product-interface-screenshot-acquisition-i0180.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review.
138	EC-0188-138	multi	A-0128	screenshot_slot	Figure 7.x - Microsoft 365 Copilot Surface. Private-use screenshot slot for the work-app copilot interface turn.	manuscript/model-product-interface-screenshot-acquisition-i0180.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review.
139	EC-0188-139	multi	A-0132	screenshot_slot	Figure 19.x - Cursor-Style IDE Surface. Private-use screenshot slot for AI-native IDE product texture.	manuscript/model-product-interface-screenshot-acquisition-i0180.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review.
140	EC-0188-140	multi	A-0135	photo_candidate_slot	Figure 14.x candidate - Silicon wafer material substrate.	manuscript/physical-photo-rights-hunt-i0181.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	No raster committed; license, author, exact file revision, resolution, and commercial compatibility must be verified before publication.
141	EC-0188-141	multi	A-0138	photo_candidate_slot	Figure 16.x candidate - Data-center exterior support infrastructure.	manuscript/physical-photo-rights-hunt-i0181.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	No raster committed; license, author, location/date, exact file revision, and commercial compatibility must be verified before publication.
142	EC-0188-142	multi	A-0140	photo_candidate_slot	Figure 16.x candidate - Transmission infrastructure.	manuscript/physical-photo-rights-hunt-i0181.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	No raster committed; license, author, location/date, exact file revision, and commercial compatibility must be verified before publication.
143	EC-0188-143	multi	A-0142	photo_candidate_slot	Figure 16.x candidate - Battery storage as grid component.	manuscript/physical-photo-rights-hunt-i0181.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	No raster committed; exact license, creator, source chain, utility/company restrictions, and commercial compatibility must be verified before publication.
144	EC-0188-144	multi	A-0144	photo_candidate_slot	Figure 16.x candidate - Cooling infrastructure texture.	manuscript/physical-photo-rights-hunt-i0181.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	No raster committed; exact license, creator, location/context, exact file revision, and commercial compatibility must be verified before publication.
145	EC-0188-145	2	planned:chapter2-source-excerpt	source_excerpt_card	Early neural LM / word-vector source excerpt	CH2 under target; source texture needed	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	quote_limit_and_page_extraction
146	EC-0188-146	2	planned:chapter2-paper-redraw	paper_redraw	Pre-Transformer bottleneck paper redraw	CH2 under target; mechanism provenance needed	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	exact_figure_page_and_redraw_scope
147	EC-0188-147	3	planned:transformer-figure-1-redraw	paper_redraw	Transformer architecture figure redraw	CH3 under target; canonical architecture visual	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	exact_pdf_page_and_redraw_rights
148	EC-0188-148	3	planned:transformer-figure-2-source-card	source_excerpt_card	Transformer attention source excerpt card	CH3 under target; source texture	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	quote_limit_and_page_context
149	EC-0188-149	4	planned:scaling-laws-redraw	paper_redraw	Scaling laws curve redraw	CH4 under target; curve with permission lanes	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	exact_values_or_schematic_boundary
150	EC-0188-150	4	planned:chinchilla-table-card	source_excerpt_card	Chinchilla compute/data balance source card	CH4 under target; scaling correction texture	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	quote_limit_and_table_context
151	EC-0188-151	5	planned:gpt3-api-source-card	source_excerpt_card	GPT-3/API source excerpt card	CH5 under target; API/product transition texture	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	quote_limit_and_snapshot
152	EC-0188-152	5	planned:gpt2-webtext-card	source_excerpt_card	GPT-2 WebText/source excerpt card	CH5 under target; data-to-model lineage	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	quote_limit_and_context
153	EC-0188-153	6	planned:rlhf-source-card	source_excerpt_card	RLHF labeler/preference source card	Optional Chapter 6 source texture	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	quote_limit_and_c0044_gate
154	EC-0188-154	11	planned:china-model-card-row	source_excerpt_card	China model card/source row	Normalize Qwen/DeepSeek source surfaces	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	unsupported_family_gap_control
155	EC-0188-155	13	planned:benchmark-prohibited-use-card	source_excerpt_card	Benchmark prohibited-use card	Evaluation literacy reserve	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	avoid_live_crown
156	EC-0188-156	14	planned:hbm-source-card	source_excerpt_card	HBM source excerpt card	Chip/fab physical texture reserve	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	supplier_rank_blocker
157	EC-0188-157	15	planned:gtc-economics-thesis-card	source_excerpt_card	GTC economics thesis card	GTC expansion reserve	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	roadmap_performance_blockers
158	EC-0188-158	16	planned:lbnl-demand-report-card	source_excerpt_card	LBNL demand report source card	Chapter 16 source texture reserve	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	forecast_as_history_blocker
159	EC-0188-159	17	planned:bookcorpus-debt-card	source_excerpt_card	BookCorpus documentation-debt source card	Data chapter source texture reserve	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	legal_closed_corpus_blocker
160	EC-0188-160	20	planned:claude-code-permission-card	source_excerpt_card	Claude Code permission source card	Coding-agent trust texture reserve	planned_not_manifested	no	Planned bench candidate from I-0187 quota pressure	productivity_autonomy_blocker
