id	status	idea	dimension	expected_metric	evidence_hypothesis
I-0070	done	Create a Chapter 7 Enterprise evidence recovery plan that searches for an archive/readable S-0079 capture and customer-side corroboration before any named-customer, uptake, productivity, or original-post quotation prose.	sourcing	ChatGPT Enterprise source recovery + C-0010 resolution	Done in data/chatgpt_enterprise_recovery_plan_i0070.tsv, manuscript/07-chatgpt-enterprise-recovery-plan.md, champion/07-chatgpt-enterprise-recovery-plan.md, and sources.tsv; S-0079 is now a readable-but-local-blocked target, S-0099/S-0100/S-0101 are candidate customer-side/triangulation lanes, and C-0010 remains active.
I-0071	done	Capture local/archive snapshots for the I-0066 Axios Seattle and Axios JPMorgan reception handles, then extract quote-safe rows before any Chapter 7 institutional-reception prose merge.	sourcing	ChatGPT reception source integrity + quote readiness	Done in data/chatgpt_reception_axios_snapshots_i0071.tsv, local text-render snapshots SNAP-20260525-022 and SNAP-20260525-023, manuscript/07-chatgpt-axios-reception-snapshots.md, and champion/07-chatgpt-axios-reception-snapshots.md; S-0096/S-0097 now support named institutional examples only.
I-0072	done	Capture a local/archive text-readable copy of S-0098 and search for primary UBS or Similarweb artifacts before any Chapter 7 sentence uses the 100M MAU, 13M daily unique visitors, or fastest-growing comparison.	sourcing	ChatGPT adoption source-chain closure + C-0010 resolution	Done in data/chatgpt_adoption_source_chain_i0072.tsv, SNAP-20260525-024, SNAP-20260525-025, manuscript/07-chatgpt-adoption-source-chain.md, champion/07-chatgpt-adoption-source-chain.md, sources.tsv, and data/chatgpt_adoption_count_audit_i0067.tsv; S-0098 is locally captured and S-0102 adds Similarweb-side corroboration, but UBS note remains uncaptured and prose must stay attributed.
I-0073	done	Run the Chapter 16 N16-1 production render comparison: produce parent/candidate page screenshots, record page-break/proximity/line-length/collision results, and decide whether CH16Q-003 through CH16Q-006 can move to N16-1 in live prose.	design	infrastructure render QA + prose merge readiness	Done in data/chapter16_n16_1_render_comparison_i0073.tsv, A-0018 parent inline SVG render, manuscript/16-n16-1-render-comparison.md, and champion/16-n16-1-render-comparison.md; comparison blocks live prose merge because evidence is mock/SVG-level, not production PDF screenshot proof.
I-0074	done	Run a Chapter 13 leaderboard appendix render QA pass that checks the I-0069 heading fix, A-0014-before-A-0013 order, footnote proximity, prohibited-use visibility, source/provenance labels, and asset legibility before any PDF promotion.	design	ranking appendix render QA + PDF readiness	Done in data/chapter13_leaderboard_render_qa_i0074.tsv, manuscript/13-leaderboard-render-qa.md, and champion/13-leaderboard-render-qa.md; text/order and SVG preflight gates pass, but PDF promotion remains blocked until a real page/spread render proves footnote proximity, prohibited-use visibility, source labels, and final-size legibility.
I-0075	done	Capture S-0079 through an archive/text-render/browser workflow and extract quote-safe Enterprise rows for launch wording, Fortune 500 registered-account definition, early-customer names, and customer-attributed productivity statements.	sourcing	ChatGPT Enterprise original-post quote readiness	Done in SNAP-20260525-026, data/chatgpt_enterprise_quote_safe_rows_i0075.tsv, manuscript/07-chatgpt-enterprise-quote-safe-rows.md, champion/07-chatgpt-enterprise-quote-safe-rows.md, sources.tsv, and the productization quote table; S-0079 is quote-ready with renderer/vendor caveats, while paid Enterprise adoption, neutral named-customer deployment, and productivity outcomes remain blocked.
I-0076	done	Extract original/current quote-safe rows from the Meta Stack Overflow generative-AI policy capture so the Chapter 7 institutional-reception sequence can distinguish Dec. 5, 2022 temporary policy wording from later edited/current policy text.	claim_audit	ChatGPT reception quote precision + prose readiness	Done in SNAP-20260525-027 through SNAP-20260525-029, data/stackoverflow_ai_policy_quote_safe_rows_i0076.tsv, manuscript/07-stackoverflow-ai-policy-quote-precision.md, champion/07-stackoverflow-ai-policy-quote-precision.md, sources.tsv, and the reception/normalization tables; S-0093 can now support one scoped Stack Overflow moderation sentence with original/current labels.
I-0077	done	Draft one cautious Chapter 7 adoption paragraph that uses the I-0067/I-0072 source chain without merging users, MAU, daily unique visitors, visits, fastest-growing comparisons, or OpenAI-confirmed adoption.	prose	ChatGPT adoption prose readiness + metric hygiene	Done in data/chatgpt_adoption_paragraph_i0077.tsv, manuscript/07-chatgpt-adoption-attributed-paragraph.md, and champion/07-chatgpt-adoption-attributed-paragraph.md; paragraph preserves users/MAU/daily-unique distinctions, Reuters/UBS/Similarweb attribution, and excludes the fastest-growing-app superlative.
I-0078	done	Run a true Chapter 16 PDF/page-image render once rendering infrastructure is available, using A-0018 and A-0017 as references but requiring actual page breaks, font metrics, figure collisions, and text extraction before N16-1 prose merge.	design	infrastructure production PDF QA + live merge readiness	Done in scripts/render_chapter16_n16_gate.py, data/chapter16_n16_1_pdf_render_qa_i0078.tsv, manuscript/16-n16-1-pdf-render-qa.md, and champion/16-n16-1-pdf-render-qa.md; the generated ignored PDFs/PNGs/text extracts prove same-page N16-1 placement, row mapping, blocker visibility, and parent/candidate reversibility for the current production-text render.
I-0079	done	Run a true Chapter 13 leaderboard appendix page/spread render using A-0014 and A-0013, then visually verify footnote proximity, prohibited-use visibility, source/provenance labels, text extraction, and final-size legibility before any PDF promotion.	design	ranking appendix production PDF QA	Done in scripts/render_chapter13_leaderboard_gate.py, data/chapter13_leaderboard_pdf_render_qa_i0079.tsv, manuscript/13-leaderboard-pdf-render-qa.md, and champion/13-leaderboard-pdf-render-qa.md; the ignored PDF/PNGs/text extract render A-0014 before A-0013, keep the A-0013 footnote/prohibited-use/price-quality guardrails visible, preserve source handles, and pass all twelve Chapter 13 layout gates with final-style caveats.
I-0080	done	Capture S-0100 PwC customer-side Enterprise press release locally and extract workforce-access, largest-user/reseller, client-services, and internal-use rows before Chapter 7 uses PwC as a neutral Enterprise customer example.	sourcing	ChatGPT Enterprise customer-side corroboration	Done in SNAP-20260525-030, data/chatgpt_enterprise_pwc_quote_safe_rows_i0080.tsv, manuscript/07-chatgpt-enterprise-pwc-rows.md, champion/07-chatgpt-enterprise-pwc-rows.md, and sources.tsv; PwC may now support a PwC-attributed Enterprise agreement/reseller/workforce-access example, while paid seats, active usage, client adoption, and productivity outcomes remain blocked.
I-0081	done	Draft one scoped Chapter 7 institutional-reception paragraph using Stack Overflow revision-1 evidence plus NYC, Seattle, and JPMorgan rows, while explicitly avoiding public-panic, all-developers, all-schools, or broad workplace-ban claims.	prose	ChatGPT reception prose readiness + scope control	Done in data/chatgpt_institutional_reception_paragraph_i0081.tsv, manuscript/07-chatgpt-institutional-reception-paragraph.md, and champion/07-chatgpt-institutional-reception-paragraph.md; the candidate paragraph adds institutional-reception texture while explicitly blocking public panic, all-developer, all-school, broad workplace-ban, permanent-ban, specific-incident, and quantified-reception claims.
I-0082	done	Integrate the I-0077 attributed adoption paragraph into the live Chapter 7 draft with compact source cues, then verify source density and metric-firewall wording survive paragraph-level editing.	prose	ChatGPT adoption live-prose integration	Done in manuscript/07-chatgpt-interface-event.md and data/chatgpt_adoption_live_integration_i0082.tsv; the live paragraph keeps Altman's users milestone separate from Reuters/UBS/Similarweb MAU and daily-unique-visitor estimates, states the estimate is not OpenAI telemetry, and preserves a 2758-word/15-cue Chapter 7 density check.
I-0083	done	Integrate N16-1 into live Chapter 16 prose for only the LBNL/DOE paragraph, then rerun scripts/render_chapter16_n16_gate.py and reject the merge if same-page placement, CH16Q-003 through CH16Q-006 mapping, CH16Q-017/CH16Q-018 inline visibility, or no-new-quant checks fail.	prose	Chapter 16 cue cleanup after production-text render gate	Done in manuscript/16-speed-to-power.md, data/chapter16_n16_1_live_pdf_render_qa_i0083.tsv, manuscript/16-n16-1-live-pdf-render-qa.md, and champion/16-n16-1-live-pdf-render-qa.md; only CH16Q-003 through CH16Q-006 moved into N16-1, the rerendered gate passed all ten rows, CH16Q-017/CH16Q-018/CH16Q-015/CH16Q-016 stayed inline, and no new quantitative claim row was introduced.
I-0084	done	Add an automated render-output smoke test for Chapter 13 and Chapter 16 PDF scripts that rejects blank/black SVG rasters, missing figure colors, missing extracted guardrail text, and oversized unignored render artifacts before future render-QA passes are promoted.	design	render QA robustness + visual failure prevention	Done in scripts/render_smoke.py, scripts/render_chapter13_leaderboard_gate.py, scripts/render_chapter16_n16_gate.py, data/chapter13_leaderboard_pdf_render_qa_i0079.tsv, and data/chapter16_n16_1_live_pdf_render_qa_i0083.tsv; both render gates now append RENDER-SMOKE rows for required guardrail text, image color/blankness statistics, and ignored-heavy-artifact checks, with zero smoke failures after rerun.
I-0085	done	Capture an independent or OpenAI-side corroboration source for PwC's first-reseller/largest-user ChatGPT Enterprise framing before Chapter 7 upgrades the S-0100 language from PwC-attributed announcement to neutral market/customer claim.	sourcing	Enterprise PwC corroboration + superlative safety	Done in S-0103/SNAP-20260525-031, data/chatgpt_enterprise_pwc_corroboration_i0085.tsv, manuscript/07-chatgpt-enterprise-pwc-corroboration.md, and champion/07-chatgpt-enterprise-pwc-corroboration.md; TechCrunch independently reported the deal and quoted an OpenAI alliances executive confirming largest-customer and first-reselling-partner framing, while pricing, revenue, active usage, paid seats, productivity, and global rollout remain blocked.
I-0086	done	Integrate the I-0081 institutional-reception paragraph into live Chapter 7 only after placing compact source cues beside Stack Overflow, NYC, Seattle, and JPMorgan claims and verifying the negative-control sentence still blocks broad public-reception prose.	prose	Chapter 7 reception live-prose integration	Done in manuscript/07-chatgpt-interface-event.md and data/chatgpt_institutional_reception_live_integration_i0086.tsv; source cues sit beside Stack Overflow, NYC/Chalkbeat, Seattle/Axios, and JPMorgan/Axios claims, Chapter 7 density is 2959 words/18 cues, and the negative-control sentence remains intact.
I-0087	done	After the Chapter 7 adoption and institutional-reception integrations, run a paragraph-level Chapter 7 source-density/readability audit that identifies overlong source notes, duplicate caveats, and any remaining C-0010 blocker text that should move into notes without weakening claim traceability.	claim_audit	Chapter 7 readability after source-cue integrations	Done in data/chatgpt_ch7_readability_audit_i0087.tsv and manuscript/07-chatgpt-source-density-readability-audit.md; Chapter 7 source density is healthy at 2837 body words / 18 cue brackets / 157.6 words per cue, while the opener and Enterprise paragraphs need a later note cleanup and stale S-0079 permission update.
I-0088	done	Run a Chapter 16 note-system follow-up audit that checks whether N16-1 creates a reusable note pattern for later CH16Q clusters without moving operator-survey, energy-per-token exclusion, or NVIDIA/GTC blocker rows prematurely.	claim_audit	Chapter 16 note-system transfer check	Done in data/chapter16_note_system_transfer_audit_i0088.tsv and manuscript/16-note-system-transfer-audit.md; N16-1 is approved only as a measured/scenario same-family note pattern, CH16Q-015/016 require a separate operator-survey N16-3 prototype, and CH16Q-017/018 remain inline guardrails.
I-0089	done	Add a tiny negative fixture or forced-failure mode for scripts/render_smoke.py so future maintainers can prove blank/black images, missing guardrail text, and unignored-large-artifact failures are caught without corrupting real render outputs.	design	render smoke regression fixture	Done in scripts/render_smoke.py with --self-test-negative and recorded in data/render_smoke_negative_fixture_i0089.tsv; the forced-failure mode catches missing guardrail text, a black page image, and an unignored large artifact, then cleans temporary files and leaves real render outputs untouched.
I-0090	done	Integrate a single attributed PwC Enterprise sentence into live Chapter 7 only if it cites S-0100 and S-0103 together and preserves blockers for pricing, revenue, active usage, paid seats, global rollout, client adoption, and productivity outcomes.	prose	Chapter 7 Enterprise corroboration live-prose integration	Done in manuscript/07-chatgpt-interface-event.md and data/chatgpt_enterprise_pwc_live_integration_i0090.tsv; one attributed PwC/TechCrunch/OpenAI-executive sentence cites S-0100 and S-0103 together, labels 100000 users as coverage/access scale, and keeps pricing, revenue, active usage, paid seats, global rollout, client adoption, and productivity blockers visible.
I-0091	done	Create a compact Chapter 7 opening source-note cleanup plan after the adoption, reception, and PwC integrations so the live chapter can move long source-note caveats into nearby paragraph-level notes without weakening C-0010 blockers.	claim_audit	Chapter 7 source-note cleanup readiness	Done in data/chatgpt_ch7_source_note_cleanup_plan_i0091.tsv, manuscript/07-chatgpt-source-note-cleanup-plan.md, and champion/07-chatgpt-source-note-cleanup-plan.md; plan splits the opener into global, productization, adoption, reception, and Enterprise lanes while preserving C-0010 blocker visibility.
I-0092	done	Draft a full 3500-5000 word Chapter 1 opening on early language modeling, embeddings, seq2seq, and attention using already ledgered sources where possible and adding a claim-audit table for any new technical claims.	prose	major word-count growth + opening narrative foundation	Done in manuscript/01-before-the-transformer.md with champion copy and data/chapter1_early_lm_claim_audit_i0092.tsv; added S-0104 through S-0107 for Bengio, word2vec, seq2seq, and Bahdanau attention, while reusing S-0002 for the Transformer bridge.
I-0093	done	Draft a full 3500-5000 word Chapter 2 Transformer chapter that explains attention, scaling usefulness, and why the architecture became the substrate for LLMs, with diagrams queued for attention flow and model-stack views.	prose	major technical spine chapter	Done in manuscript/02-attention-catches-fire.md, data/chapter2_transformer_claim_audit_i0093.tsv, and data/chapter2_transformer_diagram_queue_i0093.tsv; added S-0108 Google Research commentary and queued annotated block, recurrence-vs-attention, and model-stack visuals.
I-0094	done	Draft a full 3500-5000 word Chapter 3 scaling-laws chapter using source-backed narrative plus a chart plan for loss, compute, data, and parameter tradeoffs without unsupported frontier extrapolation.	prose	major scaling-laws chapter + chart pipeline	Done in manuscript/03-scaling-bet.md, data/chapter3_scaling_claim_audit_i0094.tsv, and data/chapter3_scaling_chart_plan_i0094.tsv; draft separates measured, modeled, interpretive, blocked, and chart-queued scaling claims.
I-0095	done	Expand Chapter 5 from GPT-1-to-GPT-3 sidecar into a 4500-6000 word live narrative chapter with source cues, GPT lineage table integration, and a clear ending that hands off to instruction tuning.	prose	major existing-chapter expansion	Done in manuscript/05-gpt-1-to-gpt-3-door-opens.md and data/chapter5_gpt_lineage_claim_audit_i0095.tsv; Chapter 5 now has 5288 words, 32 source-cue brackets, lineage-table prose integration, and an instruction-tuning handoff while preserving C-0029 blockers.
I-0096	done	Expand Chapter 6 into a 4000-5500 word RLHF/instruction-tuning chapter that integrates the alignment pipeline visual and the quote-safe alignment table into continuous prose.	prose	major alignment chapter expansion	Done in manuscript/06-alignment-enters-product.md and data/chapter6_alignment_claim_audit_i0096.tsv; Chapter 6 now has 5000 words, 33 source-cue brackets, integrated Figure 6.1 pipeline prose, quote-safe table language, and an explicit ChatGPT handoff while preserving C-0044 blockers.
I-0097	done	Grow Chapter 7 ChatGPT into a 5000-6500 word polished chapter by integrating the Enterprise/PwC sentence, reducing source-note clutter, and adding a stronger chapter ending without adding unsupported reception claims.	prose	major ChatGPT chapter completion push	Done in manuscript/07-chatgpt-interface-event.md and data/chapter7_chatgpt_completion_audit_i0097.tsv; Chapter 7 now has 5000 words, 21 source-cue brackets, localized source caveats, preserved Enterprise/PwC attribution, and a stronger race-trigger ending without unsupported reception claims.
I-0098	done	Expand Chapter 13 model-rankings appendix into a 3500-4500 word chapter section and add three lightweight SVG/table visuals: methodology flow, historical rank slice, and price-quality exclusion map.	visual+prose	chart-count growth + rankings explanation	Done in manuscript/13-model-rankings-appendix.md with 3741 words, data/chapter13_visual_sequence_i0098.tsv, data/chapter13_price_quality_exclusion_map_i0098.tsv, data/chapter13_rankings_expansion_claim_audit_i0098.tsv, and new A-0019 price-quality exclusion map; existing A-0014 and A-0013 were integrated as the first two visual slots.
I-0099	done	Build a five-visual Chapter 16 infrastructure package: power-to-token stack, data-center load scenarios, interconnection queue schematic, cooling/rack-density note, and clean-power-vs-physical-supply distinction.	visual	chart-count jump + infrastructure clarity	Done in manuscript/16-infrastructure-visual-package.md and data/chapter16_infrastructure_visual_package_i0099.tsv; reused existing A-0015 power-to-token stack and added A-0020 through A-0023 for load scenarios, interconnection queue, cooling/rack-density, and clean-procurement versus physical-supply distinction.
I-0100	done	Expand Chapter 16 Speed To Power to 5000-6500 words using the existing infrastructure source pack, N16-1 note, and visual package, while preserving all CH16Q blockers.	prose	major infrastructure chapter expansion	Done in manuscript/16-speed-to-power.md and data/chapter16_expansion_claim_audit_i0100.tsv; Chapter 16 now has 5002 words, 27 source/claim cues, A-0015/A-0020/A-0021/A-0022/A-0023 integration notes, N16-1 preserved, and CH16Q blockers intact.
I-0101	done	Use GTC-2026-Keynote.pdf to build a Chapter 15 visual/source pack with at least six slide-derived lightweight diagrams or figure slots, each with page-level provenance and blocked NVIDIA-claim labels.	visual+sourcing	major GTC visual pipeline	Done in manuscript/15-gtc-2026-visual-source-pack-i0101.md, data/chapter15_gtc_visual_source_pack_i0101.tsv, and A-0024 through A-0029; all six cards derive from existing GTC page provenance and preserve C-0047 blocker labels.
I-0102	done	Expand Chapter 15 NVIDIA/GTC into a 4500-6000 word chapter draft that uses the GTC source pack to explain AI factory rhetoric, GB200/B200/Vera Rubin roadmap framing, and claim-labeling caveats.	prose	major NVIDIA chapter expansion	Done in manuscript/15-gtc-2026-ai-factory-sells-itself.md and data/chapter15_gtc_expansion_claim_audit_i0102.tsv; Chapter 15 is now 4500 words with 47 source/asset/claim cues and A-0012/A-0024 through A-0029 integrated while C-0021/C-0047 remain active.
I-0103	done	Draft a 3500-5000 word Claude/Anthropic chapter section covering constitutional AI, Claude model line, and Claude Code/coding-agent implications, with source capture rows for any missing model/date claims.	prose	mandatory Anthropic/Claude spine chapter	Done in manuscript/12-anthropic-and-claude-spine-section.md with local Anthropic source assets, a claim audit, source-capture rows, and a champion marker; promoted as a spine section without altering the 24-chapter count pending a continuity pass.
I-0104	done	Draft a 3500-5000 word Meta/Llama/open-weights chapter section with a family-tree visual plan and claim rows separating release, license, benchmark, and ecosystem claims.	prose+visual	mandatory open-weights chapter + diagram target	Done in manuscript/10-meta-llama-open-weight-shock.md with A-0030 Llama family open-weight map, local Meta/arXiv source assets, hash provenance, and claim rows separating release, license, benchmark, ecosystem, safety, adoption, and price-quality claims.
I-0105	done	Draft a 3500-5000 word China/open-models chapter section covering Qwen, DeepSeek, GLM/Z.ai, Kimi, MiniMax, Baidu, Tencent, Xiaomi MiMo, and StepFun only where cutoff-supported, with a source-gap table for missing rows.	prose+sourcing	mandatory China/top-labs chapter	Done in manuscript/11-chinese-frontier-open-models.md with A-0031 source-permission map, six local arXiv source assets, claim audit, hash table, and source-gap rows for unsupported labs/version names.
I-0106	done	Create a full-book progress dashboard that ranks chapters by current word count, source density, visual count, claim blockers, and next best growth action so future passes prioritize real book progress over tiny safety chores.	claim_audit	project acceleration dashboard	Done in manuscript/00-full-book-progress-dashboard.md, champion/00-full-book-progress-dashboard.md, data/full_book_progress_dashboard_i0106.tsv, data/full_book_constraint_gaps_i0106.tsv, and scripts/generate_i0106_progress_dashboard.ps1; dashboard separates 70.7% ledger-word progress from 48.2% mapped-main-chapter progress and exposes 12 missing chapters plus 44 missing photo/screenshot slots.
I-0107	done	Draft a 3500-5000 word coding-agents chapter section covering SWE-bench, LiveCodeBench, harnesses, tool use, and Claude Code-style workflows with a claim audit separating benchmark results from deployed productivity.	prose	mandatory coding-agents chapter	Done in manuscript/20-claude-code-industrialized-pair-programming.md and champion/20-claude-code-industrialized-pair-programming.md; expanded Chapter 20 to 4,134 words with 23 source/claim cues; added local SWE-bench, LiveCodeBench, and Claude Code docs captures plus data/chapter20_coding_agents_claim_audit_i0107.tsv and source-capture/hash tables. Previous champion preserved under archive/I-0107/.
I-0108	done	Create a 4-visual coding-agent evaluation package: harness loop, benchmark caveat matrix, tool-call lifecycle, and productivity-claim exclusion map.	visual	chart-count growth + coding-agent clarity	Done in assets/visual_system/chapter20-coding-agent-harness-loop.svg, chapter20-benchmark-caveat-matrix.svg, chapter20-tool-call-lifecycle.svg, chapter20-productivity-blocker-map.svg, data/chapter20_coding_agent_visual_package_i0108.tsv, manuscript/20-coding-agent-visual-package-i0108.md, and assets_manifest.tsv rows A-0032 through A-0035; SVGs validate as XML and preserve benchmark/productivity blockers.
I-0109	done	Build a source-gap and claim-permission table for Anthropic/Claude/Claude Code covering constitutional AI, Claude model releases, Claude Code, pricing/context claims, and coding-agent evidence.	sourcing	prepare Anthropic chapter safely	Done in data/anthropic_claude_source_gap_permission_i0109.tsv, data/anthropic_claude_source_gap_summary_i0109.tsv, data/anthropic_i0109_source_asset_hashes.tsv, manuscript/12-anthropic-claude-source-gap-permission-i0109.md, sources.tsv, and local S-0019 capture; table consolidates Constitutional AI, Claude 3/3.5/3.7/4, computer use, Claude Code, MCP, pricing, benchmark, and productivity/adoption permission lanes.
I-0110	done	Create a chapter-order and continuity audit that checks current 24-chapter spine against drafted chapters, missing mandatory topics, visual distribution, and handoff quality from Chapter 1 through Chapter 16.	claim_audit	full-book structural steering	Completed in pass I-0110 with data/chapter_order_continuity_audit_i0110.tsv, data/spine_gap_and_overlap_i0110.tsv, and manuscript/00-chapter-order-continuity-audit-i0110.md; audit found missing Chapter 1, 8, 9, 12, 14, 17-19, 21-24, numbering drift, unplaced Anthropic/Claude material, and visual concentration risk.
I-0111	done	Draft a 3500-5000 word Google/DeepMind/Gemini chapter with local source captures, model-line chronology, TPU/GPU infrastructure notes, product-conversion caveats, and claim audit.	prose+sourcing	missing chapter progress + source diversification	Completed in pass I-0111 with manuscript/09-google-deepmind-gemini.md, ten local Google/DeepMind source captures, a chronology table, source hash table, and claim audit separating product framing from benchmark/adoption/revenue claims.
I-0112	done	Create a non-NVIDIA visual/photo/screenshot acquisition package covering ChatGPT, Claude/Claude Code, Llama, Qwen/DeepSeek, Gemini, and coding-agent workflows with provenance rows and rights notes.	visual+sourcing	photo/screenshot progress + asset diversity	Completed in pass I-0112 with twenty acquisition-ready non-NVIDIA screenshot/source-screenshot slots A-0036 through A-0055, data/non_nvidia_visual_photo_acquisition_i0112.tsv, and manifest rows that keep raster media private/uncommitted while preserving source IDs and rights notes.
I-0113	done	Draft a 3500-5000 word Microsoft/OpenAI/cloud-bargain chapter with Azure supercomputer, partnership chronology, Copilot distribution, inference-serving economics, and blocker rows for revenue/productivity claims.	prose+sourcing	missing chapter progress + business narrative force	Completed in pass I-0113 with manuscript/08-microsoft-openai-cloud-bargain.md, eight local Microsoft/GitHub/Azure source captures, one recorded OpenAI capture gap, chronology and claim-audit tables, and blocker rows for revenue/productivity/usage claims.
I-0114	done	Extract row-level Claude 4 benchmark and agent-scaffold permissions from S-0007, separating SWE-bench Verified, Terminal-bench, tool-use, availability, and best-coding-model language before any numeric chart.	claim_audit	retire C-0013 sub-blockers	Done in data/claude4_benchmark_agent_permission_i0114.tsv, data/claude4_benchmark_chart_readiness_i0114.tsv, and manuscript/20-claude4-benchmark-permission-i0114.md; extracted Anthropic-reported SWE-bench 72.5 percent and Terminal-bench 43.2 percent while keeping numeric charts blocked until benchmark scaffold, tool, budget, date, and independent-source rows are normalized.
I-0115	done	Draft a 3500-5000 word Chapter 18 Tools, Retrieval, and the Agent Turn chapter with RAG, function calling, MCP, computer use, prompt-injection risks, and claim blockers.	prose+sourcing	missing chapter progress + agent spine continuity	Done in manuscript/18-tools-retrieval-agent-turn.md and promoted to champion/18-tools-retrieval-agent-turn.md; chapter frames agency as a harness-level system property and preserves blockers on RAG-as-truth, function-call safety, MCP adoption, computer-use reliability, productivity, and prompt-injection taxonomy.
I-0116	done	Draft a 3500-5000 word Chapter 14 NVIDIA and CUDA moat chapter with CUDA/software-stack history, GPU memory/interconnect explanation, H100/B200/GB200 context, and blocker rows before the GTC chapter.	prose+sourcing	missing chapter progress + hardware continuity	Done in manuscript/14-nvidia-cuda-moat.md and promoted to champion/14-nvidia-cuda-moat.md; captured six official NVIDIA source pages and added claim/source/hash tables that separate CUDA/software-stack mechanism from exact performance, roadmap, partner, deployment, availability, and market-power blockers.
I-0117	done	Draft a 3500-5000 word Chapter 1 The Shock opener using ChatGPT launch/reception source rows, token/interface explanation, and the new non-NVIDIA screenshot slots without cannibalizing Chapter 7.	prose+sourcing	missing opener + narrative force	Done in manuscript/01-the-shock.md and promoted to champion/01-the-shock.md; Chapter 1 now frames the central next-token/interface question, uses attributed adoption and named-institution reaction rows, captures tiktoken locally, and preserves Chapter 7 as the deeper ChatGPT productization chapter.
I-0118	done	Create a Chapter 8 Microsoft/OpenAI visual package: partnership chronology, cloud-to-product flywheel, inference-cost stack, and enterprise-claim blocker map with source IDs and rights-safe SVGs.	visual	missing visual package + business-book clarity	Done with A-0056 through A-0059: partnership chronology, cloud-to-product flywheel, inference-cost stack, and enterprise-claim blocker map; all four SVGs carry source IDs and block revenue, adoption, productivity, customer ROI, search-share, margin, workload-volume, and enterprise-outcome claims.
I-0119	done	Draft a 3500-5000 word true Chapter 12 Europe, xAI, and the Rest of the Frontier chapter with Mistral, xAI, Europe/rest-of-frontier source captures, and explicit reconciliation with the unplaced Anthropic/Claude sidecar.	prose+sourcing	missing chapter progress + structure repair	Done in manuscript/12-europe-xai-rest-frontier.md and champion/12-europe-xai-rest-frontier.md with six local Mistral/Cohere/AI21 captures, two xAI 403 capture-gap rows, and a claim audit that preserves the Anthropic/Claude sidecar as unplaced material instead of overwriting the official Chapter 12 slot.
I-0120	done	Create a Chapter 18 visual package: RAG evidence conveyor, function-call boundary, agent loop, and prompt-injection threat model with source IDs and blocker captions.	visual	visual coverage + tool-use clarity	Done with A-0060 through A-0063 in assets/visual_system plus data/chapter18_tools_agents_visual_package_i0120.tsv; visuals explain RAG, function-call, agent-loop, and prompt-injection mechanisms while preserving blocked reliability/autonomy/safety claims.
I-0121	done	Draft a 3500-5000 word Chapter 17 Data, Tokens, and the Library Problem chapter with tokenizer mechanics, dataset provenance, Common Crawl/data-mixture issues, memorization, and claim blockers.	prose+sourcing	missing chapter progress + data spine	Done in manuscript/17-data-tokens-library-problem.md and champion/17-data-tokens-library-problem.md with 11 new local source captures, a 12-row source pack, hash table, and 12-row claim audit covering tokenizer mechanics, C4/Common Crawl, The Pile, Dolma, FineWeb, DataComp-LM, deduplication, memorization, long context, and blocked proprietary-corpus/synthetic-data/legal claims.
I-0126	done	Create a Chapter 17 visual package: tokenization ladder, Common Crawl filter funnel, data-mixture control board, and memorization/contamination blocker map with source IDs.	visual	data/token visual support	Done with A-0064 through A-0067 in assets/visual_system plus data/chapter17_data_tokens_visual_package_i0126.tsv; visuals explain tokenization, web-corpus filtering, dataset-mixture recipes, and memorization/contamination blockers without implying exact proprietary corpus knowledge or legal conclusions.
I-0127	done	Draft a 3500-5000 word Chapter 22 Economics of Intelligence on Tap chapter using provider pricing snapshots, API/subscription economics, inference cost caveats, and margin/revenue blockers.	prose+sourcing	missing late-book economics spine	Done in manuscript/22-economics-intelligence-on-tap.md and champion/22-economics-intelligence-on-tap.md with source-pack and claim-audit rows covering subscriptions, API token pricing, price-quality exclusions, inference rent, enterprise blockers, routing/caching/batching, and blocked revenue/margin/ROI claims.
I-0128	done	Draft a 3500-5000 word Chapter 23 Failure Modes, Truth, and Trust chapter with hallucination, sycophancy, jailbreaks, prompt injection, eval blind spots, provenance, and incident/source blockers.	prose+sourcing	missing trust/failure spine	Done in manuscript/23-failure-modes-truth-trust.md and champion/23-failure-modes-truth-trust.md with four new pre-cutoff research source rows and a ten-row claim audit covering hallucination, TruthfulQA, sycophancy, reward tampering, jailbreaks, prompt injection, eval blind spots, system cards, provenance, calibration, and blocked incident/prevalence claims.
I-0122	done	Draft a 3500-5000 word Chapter 21 Reasoning, Test-Time Compute, and the New Scaling Axis chapter with o-series, chain-of-thought caveats, verifier/search patterns, and benchmark blockers.	prose+sourcing	missing late-book chapter + reasoning continuity	Done in manuscript/21-reasoning-test-time-compute.md and champion/21-reasoning-test-time-compute.md with six new pre-cutoff source rows and an eleven-row claim audit covering o1/o3/o4-mini, Gemini 2.5 thinking, DeepSeek-R1, Kimi k1.5, chain-of-thought, self-consistency, process supervision, tree search, ReAct, routing, distillation, and inference-contract blockers.
I-0123	done	Create a Chapter 1 visual package: ChatGPT shock chronology, token-to-answer schematic, and first institutional response/source chronology with blocker captions.	visual	opener visual force + source clarity	Done with A-0068 through A-0070 in assets/visual_system plus data/chapter1_shock_visual_package_i0123.tsv; visuals explain launch/adoption metric lanes, token-to-answer mechanics, and named institutional responses while blocking fastest-growing-app, OpenAI-confirmed adoption, broad panic, national school-ban, exact tokenizer, human-like understanding, reasoning, and truth claims.
